Activity ID,Activity Type [attrib],Task Name,Due At,Completed At,Farm Name,Field Name,Field ID,Job Status
1009998,ActualActivity,Pre Emergent Application,,2018-11-14T11:00:56.000-07:00,Lone Tree,T-02,416050,COMPLETE-NO-DUE-DATE-SET
1009999,ActualActivity,Pre Emergent Application,,2018-11-14T12:00:16.000-07:00,Lone Tree,T-03,416051,COMPLETE-NO-DUE-DATE-SET
1010028,ActualActivity,Pre Emergent Application,,2018-11-20T12:40:00.000-07:00,Las Animas,L-10,415992,COMPLETE-NO-DUE-DATE-SET
1010075,ActualActivity,Pre Emergent Application,,2018-11-19T08:40:55.000-07:00,Las Animas,L-20,415999,COMPLETE-NO-DUE-DATE-SET
1010079,ActualActivity,Pre Emergent Application,,2018-11-19T11:30:11.000-07:00,Las Animas,L-21,416078,COMPLETE-NO-DUE-DATE-SET
1010082,ActualActivity,Pre Emergent Application,,2018-11-19T14:40:06.000-07:00,Las Animas,L-33,416077,COMPLETE-NO-DUE-DATE-SET
1010083,ActualActivity,Pre Emergent Application,,2018-11-19T17:20:46.000-07:00,Las Animas,L-31,415993,COMPLETE-NO-DUE-DATE-SET
1010084,ActualActivity,Pre Emergent Application,,2018-11-18T10:00:37.000-07:00,Las Animas,L-37,415996,COMPLETE-NO-DUE-DATE-SET
1010085,ActualActivity,Pre Emergent Application,,2018-11-18T15:00:57.000-07:00,Las Animas,L-35,415997,COMPLETE-NO-DUE-DATE-SET
1010087,ActualActivity,Pre Emergent Application,,2018-11-18T11:00:33.000-07:00,Las Animas,L-36,415995,COMPLETE-NO-DUE-DATE-SET
1010088,ActualActivity,Pre Emergent Application,,2018-11-18T08:20:12.000-07:00,Lone Tree,T-09,416063,COMPLETE-NO-DUE-DATE-SET
1010091,ActualActivity,Pre Emergent Application,,2018-11-15T14:00:36.000-07:00,Lone Tree,T-07,416072,COMPLETE-NO-DUE-DATE-SET
1010093,ActualActivity,Pre Emergent Application,,2018-11-15T14:50:18.000-07:00,Lone Tree,T-08,416073,COMPLETE-NO-DUE-DATE-SET
1010095,ActualActivity,Pre Emergent Application,,2018-11-21T13:00:00.000-07:00,Pick Anderson,P-25,416022,COMPLETE-NO-DUE-DATE-SET
1010096,ActualActivity,Pre Emergent Application,,2018-11-26T09:00:35.000-07:00,Pick Anderson,P-44,416016,COMPLETE-NO-DUE-DATE-SET
1010101,ActualActivity,Pre Emergent Application,,2018-11-26T10:20:02.000-07:00,Pick Anderson,P-45,416017,COMPLETE-NO-DUE-DATE-SET
1010102,ActualActivity,Pre Emergent Application,,2018-11-26T12:00:12.000-07:00,Pick Anderson,P-46,416018,COMPLETE-NO-DUE-DATE-SET
1010104,ActualActivity,Pre Emergent Application,,2018-11-27T08:24:55.000-07:00,Elbon,E-08,416071,COMPLETE-NO-DUE-DATE-SET
1010107,ActualActivity,Pre Emergent Application,,2018-11-27T08:40:07.000-07:00,Hereford,H-02,416098,COMPLETE-NO-DUE-DATE-SET
1010110,ActualActivity,Pre Emergent Application,,2018-11-27T09:50:59.000-07:00,Hereford,H-23,416094,COMPLETE-NO-DUE-DATE-SET
1010111,ActualActivity,Pre Emergent Application,,2018-11-27T11:30:00.000-07:00,Hereford,H-24,416093,COMPLETE-NO-DUE-DATE-SET
1010113,ActualActivity,Pre Emergent Application,,2018-11-27T12:00:54.000-07:00,Hereford,H-06,416102,COMPLETE-NO-DUE-DATE-SET
1010119,ActualActivity,Pre Emergent Application,,2018-11-27T12:40:44.000-07:00,Hereford,H-08,416103,COMPLETE-NO-DUE-DATE-SET
1010123,ActualActivity,Pre Emergent Application,,2018-11-27T13:30:09.000-07:00,Pick Anderson,P-08,416037,COMPLETE-NO-DUE-DATE-SET
1010124,ActualActivity,Pre Emergent Application,,2018-11-27T14:10:10.000-07:00,Pick Anderson,P-09,416038,COMPLETE-NO-DUE-DATE-SET
1010125,ActualActivity,Pre Emergent Application,,2018-11-27T15:00:24.000-07:00,Pick Anderson,P-10,416039,COMPLETE-NO-DUE-DATE-SET
1010126,ActualActivity,Pre Emergent Application,,2018-11-27T16:30:40.000-07:00,Pick Anderson,P-11,416040,COMPLETE-NO-DUE-DATE-SET
1010128,ActualActivity,Pre Emergent Application,,2018-11-27T17:15:13.000-07:00,Pick Anderson,P-23,416024,COMPLETE-NO-DUE-DATE-SET
1010129,ActualActivity,Pre Emergent Application,,2018-11-27T18:30:46.000-07:00,Pick Anderson,P-24,416023,COMPLETE-NO-DUE-DATE-SET
1010130,ActualActivity,Pre Emergent Application,,2019-01-26T19:50:00.000-07:00,Pick Anderson,P-22,416029,COMPLETE-NO-DUE-DATE-SET
1010726,ActualActivity,Herbicide Application,,2018-11-27T17:50:04.000-07:00,Lone Tree,T-10 #02,457505,COMPLETE-NO-DUE-DATE-SET
1010726,ActualActivity,Herbicide Application,,2018-11-27T17:50:04.000-07:00,Lone Tree,T-10 #03,457506,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Kreyenhagen,K-02,416127,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-01E,416043,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-01W,416044,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-20,416031,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-21,416030,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-26,416021,COMPLETE-NO-DUE-DATE-SET
1011678,ActualActivity,Pre Emergent Application,,2018-11-30T18:00:44.000-07:00,Pick Anderson,P-27,416025,COMPLETE-NO-DUE-DATE-SET
