the_geom,property_name,name,area,stroke,stroke_width,marker_size,fill,fill_opacity,crop_name
0106000020E6100000010000000103000000010000001F0000003753633ADB2A5EC0994549C4EB8F42400A7072A6E62A5EC02D78D157109042408B8BC480FC2A5EC0E174BB2C60904240D4BDA9A3FE2A5EC0DF098BC463904240C4FC687A012B5EC0AF946588639042403F8D9C01052B5EC021D9D08B629042403B5F60140C2B5EC09AB1EC725F904240CBF4AEEE162B5EC00DFDD13F5A904240E28521301E2B5EC0A218CD885A904240E7BE622E252B5EC0060618AF5C904240E4970BA62B2B5EC0457D589062904240D7F3DA11332B5EC0F1AEA33F6E9042401AF16CA83B2B5EC02176A6D079904240CD851D08412B5EC08B61FB877C904240EE5DC5DA462B5EC0CBD487A27E9042401E266DEC4A2B5EC00D9603A07E904240E2BAD69C4B2B5EC03739D78B7C904240D1D291333F2B5EC0902009B95A904240A05D7468072B5EC071116B33C68F42400ED68372F02A5EC03C8386FE898F42401E5BE8ADEE2A5EC0A7052FFA8A8F424009731651EE2A5EC01C693E219A8F4240A8461AA2EB2A5EC0AE4E6B26A18F424036BDF692E72A5EC07BD7C13DA68F42400C8FA273E32A5EC0CAC48C74AF8F4240F91C9239DA2A5EC0DD314CD8C48F4240A4A6E184D72A5EC0BA1AD124CE8F42407D348395D62A5EC0187F99F7D18F42401EA3C02BD72A5EC09268558DD68F4240C7C28C00D92A5EC09FBE6DBFDF8F42403753633ADB2A5EC0994549C4EB8F4240,Pick Anderson,P-38,53.4 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
0106000020E6100000010000000103000000010000000B0000007DB3CD8DE9315EC04DD6A8876890424059DDEA39E9315EC000AE64C74690424000A94D9CDC315EC047205ED72F904240087767EDB6315EC0DC9DB5DB2E904240BA4E232D95315EC09C508880439042405AD8D30E7F315EC080828B15359042403D0AD7A370315EC0E3C281902C904240889D29745E315EC02A52616C219042404F58E20165315EC05587DC0C379042405A9E077767315EC08E40BCAE5F9042407DB3CD8DE9315EC04DD6A88768904240,Duck Club,DC-11,28.4684 acre,#00FF00,1,medium,#00FF00,0.8,
0106000020E61000000100000001030000000100000005000000C993A46B26315EC0AE2AFBAE088E424022AB5B3D27315EC068791EDC9D8D424053AEF02E17315EC061545227A08D42400C022B8716315EC08B54185B088E4240C993A46B26315EC0AE2AFBAE088E4240,Delta Ranch,D-18 Block #6,7.66 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E610000001000000010300000001000000220000003C6FBE6C96305EC0C56B031CE78F42408F0F06E097305EC0837488EAF38F42402F14556499305EC020EF7639FC8F42400C94901F9C305EC01DC329940190424037A83FF3A0305EC032ED17C307904240560593B0A9305EC0081F089812904240BA160C32B2305EC05CF8C96A1D9042407CA34E27B6305EC075775BF126904240CFDC43C2B7305EC07403EC40299042409CC56A77B8305EC02743C0E72890424057387272B9305EC0E7502BF125904240CF2545F9BC305EC0FDD0F5121D9042407586B19EBD305EC0D71AC6B4A18F42401CFE2656BE305EC044842458418F42405D86629FBE305EC0BF296A38FE8E4240705D523165305EC0DE639FB6FC8E424096DFD4CD66305EC0565E9786068F4240F4E6683C6E305EC0E4A5D56F2A8F424047DEDEDA6E305EC035D40716308F42401E21FB076E305EC0AE93654E388F4240B9075BCB68305EC0BE194EFC458F4240D922ED6F5E305EC0EAC68178598F424056B6B4BF58305EC0A298BC01668F42403B33E27E57305EC06436D0956B8F4240442FC46657305EC0845B25F5718F4240B42BE3955A305EC008CED734888F4240362E905E5C305EC0344D54468E8F4240E4F38AA75E305EC003A3A21C928F42404E8447FA78305EC09831E45CB38F4240571124A58F305EC0E4367579CE8F4240E50B9C6492305EC0CAED2CB4D28F42403DEA128293305EC03F29287FD68F4240A27B396095305EC04D959CD1DE8F42403C6FBE6C96305EC0C56B031CE78F4240,Delta Ranch,D-15,100 acre,#FF0000,1,medium,#FF0000,0.8,Carrots
0106000020E61000000100000001030000000100000016000000A11A487A052D5EC04BD0BAA1048D42405270E3DC072D5EC0C404DAC2188E4240DBB35B89082D5EC016058FA91A8E42406FB9FAB1092D5EC022F910751B8E4240E2DF6FCD402D5EC0B7C0B377258E42402C595F6E412D5EC093AACC188F8D42403D435974422D5EC05DC7D17F038D4240527FBDC2422D5EC07E231521D08C4240C4A04432412D5EC0B0336C31CB8C424063F988D23D2D5EC07975AF0FC28C4240129EF1F9382D5EC0EA3B857DB78C424018AA287F332D5EC048BBFA46AE8C4240A0A8E81F2F2D5EC02C26783BA98C424079A235502A2D5EC01520862DA88C424094735A9E242D5EC0CE994053A78C42404A6758731D2D5EC0A4AFF74DA78C4240FA0E5DD4172D5EC08D9B3B76A78C4240BFA7073F102D5EC02A0C3E8BAD8C4240635C37C60A2D5EC03F822C55B38C4240C80D9E8D052D5EC06CA08E01B88C424042063409052D5EC0D75626DBC48C4240A11A487A052D5EC04BD0BAA1048D4240,Las Animas,L-01,99.5 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
0106000020E61000000100000001030000000100000005000000E5D5390664315EC03C8386FE098E42404F58E20165315EC0840D4FAF948D4240815B77F354315EC07DE882FA968D42405E85949F54315EC019ADA3AA098E4240E5D5390664315EC03C8386FE098E4240,Delta Ranch,D-18 Block #10,8.29 acre,#FF0000,1,medium,#FF0000,0.8,Watermelon
0106000020E6100000010000000103000000010000001400000075E7CB03FF295EC012D38DC9C591424074AF3841002A5EC0C12BF655C19142405710B9CFE0295EC066F936D45A914240AEC2C1397E295EC0635CB38DA6914240832636DD7A295EC038CEF96BAA91424027774C9B79295EC0829F61FFAF91424046B1811978295EC0DC45B9B0C5914240E7E0DBEC76295EC0D5054005D5914240161A253B78295EC0B9F0AC72DB91424049AC5A0C7D295EC0D4A9C003E29142404B46843584295EC0A0CA82ECE9914240E9AAABC889295EC01C188A85EB9142400EC1EDE092295EC05C97F121EE914240000572E49C295EC0C6DBCEE7F1914240E66F2984A1295EC03B45DCD6F59142402EE6E786A6295EC0FB4DF609FF914240D68FEAC7A8295EC07BED04C104924240FF7FD6DBAA295EC05C133DB6069242403CA1F8ADAD295EC01B18D4120692424075E7CB03FF295EC012D38DC9C5914240,Pick Anderson,P-14E,61.7 acre,#FF0000,3,medium,#FF0000,0.8,Garlic
0106000020E610000001000000010300000001000000110000001369B854A7305EC0FC6EDB73F09042408F9AC0BE67305EC0A826778E37914240B96D00B267305EC0411128EE3A914240FD36404069305EC0D987699D40914240354945C697305EC0F36DC9C3A5914240DC7071B798305EC0B77FE16CA59142404F006A0FA0305EC0F8233DF38F91424089FA3459A9305EC0941A14AC759142402C101C1BAA305EC03DE94CF3719142404D68714AA9305EC0363066093A9142409E446371A8305EC0DF720E0134914240B0F65E19A7305EC0D62ED8D32F914240518EB8B6A6305EC097D2E92F2A914240729BBA3CA7305EC02ECFDE74269142401E520C90A8305EC057E652011C914240D1E129FDA7305EC04899607AF39042401369B854A7305EC0FC6EDB73F0904240,Hereford,H-25N,69.5 acre,#FF0000,1,medium,#FF0000,0.8,Cotton Pima
0106000020E6100000010000000103000000010000001A000000A6304A2B99335EC0C37D26F3F6944240F842753195335EC0179A6F6DF6944240BC1AC9B305335EC08DEAB63C3D9542401A66CB660C335EC00129B9DC439542407793AD6812335EC057772CB649954240A35B8EDB18335EC04187D07351954240CF3EC18B1F335EC02CB9ABD358954240FE20798426335EC01E4C2FD65C954240AA30F0BB2D335EC08DCAF21A60954240939A2CA432335EC075B39A0961954240E627510639335EC006D120265D9542406BA4DF9D40335EC0CE1122AE56954240595D1CCF46335EC036A9AAC84F954240576023A449335EC0374890634E954240B438C6C24E335EC0AD6343D45095424044B9FAD257335EC06F238E0A569542402B64746160335EC02F3629DC5D954240A5308C476B335EC049A4E9C365954240A5AD42B172335EC0B10573AA6B95424081EC16FD78335EC0E01157C66D954240FC3B78797C335EC0911E8EC76F954240B60708837E335EC07D6CFDBA74954240EBFD885780335EC0E6CA7FCC779542407C1C593B82335EC0B1D162BE76954240FEE90E7B84335EC0CEC453136D954240A6304A2B99335EC0C37D26F3F6944240,Hereford,H-03,40.3 acre,#00FF00,1,medium,#00FF00,0.8,Fallow
0106000020E6100000010000000103000000010000000E00000041395D58EF305EC0847B2B332193424035473570F0305EC08C5DCBF91C934240A50D8F16CA305EC08509C467C2924240031822E98B305EC0E4CF9E682A92424031EB287B89305EC057561ECD269242407FCB319387305EC04A93B5FA2892424021540C047F305EC0C788C0684192424074D1D20D7B305EC05ACFD6E24F924240711769FB7A305EC06F1A4FC254924240E15200527C305EC0FC947C4F5992424022FB83F57D305EC0620D7AE36292424032463DA78D305EC081E8EEDFE1924240BA94882A9B305EC0764432A23C93424041395D58EF305EC0847B2B3321934240,Hereford,H-23,67.3 acre,#FF0000,1,medium,#FF0000,0.8,Cotton Pima
0106000020E6100000010000000103000000010000001500000082C476F780335EC0890EBBCE8A95424038FB3D9080335EC0D355B24A86954240D1B73FF67E335EC0FEFF6A9B83954240428A8DBB79335EC0D41F69897895424016A8A4D278335EC01DBAB0A07695424017A154D275335EC006AE1B8473954240662C1E0773335EC0010B894972954240C7D8C7126F335EC04A4DF54370954240A597DE1F6B335EC080DF54DE6D954240F1C4C5B463335EC09BB4C257689542404EB382D755335EC0C44100785D954240E4E9C7EC4D335EC0C141316857954240393565E14A335EC0C1E9554B579542404CB4584848335EC0D31CB4B2589542400205285742335EC0D6C05E7A5E954240D3B7713040335EC087F80B66619542408DC92C8C3E335EC0C11EF21A6495424060843AF63D335EC0DCC015370B964240000B2E903F335EC0B1165DE60D964240B5B8EFE663335EC03A980B640F96424082C476F780335EC0890EBBCE8A954240,Hereford,H-01,41.9 acre,#00FF00,1,medium,#00FF00,0.8,Fallow
0106000020E61000000100000001030000000100000009000000BB794F8AFB325EC0E1C1058FA58D42400524ED88FB325EC064F8FCEEA58D42409A71E0F600335EC006BA5930AF8D42405BD957810E335EC0FCCDDD11C28D424083633B8416335EC0CC7A94BECE8D42409B33891717335EC0E0CE8D02A78D42401BA38EF115335EC00B547377A58D4240CBC5520311335EC040F5B468A68D4240BB794F8AFB325EC0E1C1058FA58D4240,Delta Ranch,D-25S,2.6 acre,#00FF00,1,medium,#00FF00,0.8,Pasture
0106000020E61000000100000001030000000100000019000000B16FE5F4CE2C5EC0F97DE649A58D4240D34B6B57D12C5EC03A3455C50E8E424062E5C8B1D22C5EC0EB77DD32128E4240BA0EBCF7032D5EC034D239DC1A8E4240CBC65AAE042D5EC0104857231A8E42402556CA5B032D5EC041CE0371818D42404CAB7C2A022D5EC0998FD6DEC88C424041E45F91002D5EC04D6DE32EC68C424030CC5367FF2C5EC0C4AF58C3C58C4240F6E149A0FB2C5EC00523E5DDC78C42407D08471CF42C5EC0107F6673C98C42402D0BC3D3ED2C5EC01184F1F4C68C4240E3798059E72C5EC06D3976D4C18C42407CD5675AE42C5EC08787B4B6BE8C4240AA31F866E12C5EC06C2E0E99B88C4240298183ACDD2C5EC0DA8979F3A78C42406FC1CE24DC2C5EC0FB5205C4A08C424086165D07DC2C5EC04DFBA4E2988C4240D70273DBDB2C5EC09CD1C1C0948C4240932E05BDDA2C5EC08CD99255918C42408E420E21D92C5EC0B7AA78658F8C4240B92EA127CA2C5EC022C8BDD08E8C42401F27AF42C82C5EC04538FB3D908C424047DCCE84C72C5EC0F6D2B1D6928C4240B16FE5F4CE2C5EC0F97DE649A58D4240,Las Animas,L-02,88 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
0106000020E61000000100000001030000000100000016000000C4D1139E292C5EC0FB96F740C48D4240BED8FF292A2C5EC0DC52FF07F58D4240523E0CC62B2C5EC0B18119F8F68D4240F1653FDE2D2C5EC0CF1D16CDF78D42400E5673EB3B2C5EC0E1AA3E99F78D42408928C344452C5EC08D1C75B6F88D42407375530C482C5EC086C54DB2FA8D4240C366FCD24D2C5EC0F499FDCBFF8D4240586C38D1532C5EC01BD70108068E4240B9BA6B22562C5EC0C1381B9F078E42404E609DD7562C5EC020E52F46078E424065C99892572C5EC003317D6D058E4240766792FD582C5EC0FFC46DD9C68D4240898FF40E5C2C5EC05D848CF4608D4240433079C9602C5EC01702EBFED28C42403C7152FB612C5EC0FC56A9A8938C42400489D451612C5EC0A4E90502918C4240AFC623025F2C5EC0ECD7DF0A8F8C4240107262382C2C5EC017D884308E8C424032D19CCC2A2C5EC0DAB552428F8C4240D5F896832A2C5EC044DB949F928C4240C4D1139E292C5EC0FB96F740C48D4240,Las Animas,L-05,84.4 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
0106000020E6100000010000000103000000010000001E0000005991E511DA2B5EC01251B544928D4240C1B414B7DC2B5EC046B1555F958D4240CC61C353E52B5EC02DF177B5988D4240739E8733EA2B5EC0C67247869B8D4240EF78FFA5ED2B5EC0D1D6DFC89F8D424004FEA0E7F22B5EC000DFAD3DA88D424037B2905BF62B5EC017BF4F20AC8D4240452B58AAFB2B5EC0DB358235B18D424073E3953F002C5EC081FF81C3B78D42400AC44AD6042C5EC0BED48BF1BD8D4240D0A55DE1062C5EC0B54C1726C28D4240075C6C6A082C5EC06448A6F5C88D424058F5FD630A2C5EC0E6EDA8A9D18D4240388D4F4C0B2C5EC0425DC992D38D4240314871670D2C5EC05BFDD1A7D38D4240CB09814C0F2C5EC0D87DB13AD28D4240D4BAF708102C5EC0855DF801D08D4240675BD5EA0D2C5EC00AC1574CC18D4240D355AB830B2C5EC08C75F8F3B58D4240F9F05BB1022C5EC0C8C7EE197B8D4240E3A18122F72B5EC072708963248D4240686D57D9ED2B5EC07CBB78A4E18C42405CDA2538E12B5EC0E895AAE3938C42402D2AD019E02B5EC056B25E78908C4240FBB57334DF2B5EC045C653CF8D8C42402AD2E6CAB12B5EC0C2960B898D8C424077A2C921B02B5EC05DBF78F88E8C424048BB510DB02B5EC049ECD737948C4240F1EA523ABD2B5EC0AC4418BEDC8C42405991E511DA2B5EC01251B544928D4240,Las Animas,L-09,60.5 acre,#FF0000,1,medium,#FF0000,0.8,Tomato
0106000020E610000001000000010300000001000000180000001F90B186D82B5EC0EABD51B5938D424039D7FBC8C92B5EC08F4FC3DE368D424091005BC5AE2B5EC02C6801CB938C42405B62AE69AD2B5EC07CE04FBD908C42407C4C4A93AB2B5EC08711D76A8E8C4240D453FAB9A92B5EC0582648D88C8C424063A6BC98A82B5EC0388AE12C8A8C42400CE3CC22922B5EC00EBEEA4B898C42400A30EFF2902B5EC0BEEC0F608A8C4240C488808D922B5EC026FA4E97638D4240B18C1825942B5EC06F385CA7668D4240D41FC085A52B5EC0CFE0CA95728D42400CFD84C5AB2B5EC032599754778D4240A0172105AE2B5EC05C67606B7D8D4240BFBE3D05B22B5EC0800ACE738B8D42400A4C20BEB42B5EC047603D2F918D424088C133F3B72B5EC081C67DCF958D42409F8918EBBE2B5EC011245875998D4240914B030EC42B5EC0B922C5689A8D4240B84F2B47C82B5EC09CBC00D3998D4240F1E34B1DCB2B5EC0CC50650F988D4240B2C0889CCF2B5EC0C28046DC948D4240E58A8F14D42B5EC0C284DA88938D42401F90B186D82B5EC0EABD51B5938D4240,Las Animas,L-10,54.9 acre,#FF0000,1,medium,#FF0000,0.8,Wheat
0106000020E610000001000000010300000001000000180000006DE7FF4D612C5EC0EF4F4F85768C4240AEFC1073642C5EC0170CEF447F8C424002A0E377672C5EC02EB40FE3808C42405510357E6E2C5EC04F4519C9808C4240EEB0B267892C5EC064CBFA74818C4240BC3FA96DA62C5EC0BC72BAD5818C424086D08D61A72C5EC084492ABF808C42400D1A842BA72C5EC0B1AF033D7F8C4240D63F8FB94A2C5EC0BD23047FDB8B42400A0E95A9242C5EC058D40EA1978B424057542836F82B5EC03BE6A002498B4240F589CAA7AD2B5EC0B2AAAD94C68A42403A19905FAB2B5EC04785B5BDC28A4240E1959A53A82B5EC0BE6B38FFC28A42409282C5D6962B5EC0664F0051DD8A4240C9DC6050962B5EC0A4C7DD0BE18A4240258AE6F3962B5EC0478B6632E58A4240487C291EE52B5EC0F1086B45788B4240D06BBF61082C5EC0C6390848BB8B4240D98A70CA2F2C5EC09270C1F3028C4240FD1582504B2C5EC0925410C8378C42402718CCB54E2C5EC0BF022B6A3F8C42403F634168532C5EC06CD777D94D8C42406DE7FF4D612C5EC0EF4F4F85768C4240,Las Animas,L-31,94.5 acre,#FF0000,1,medium,#FF0000,0.8,Cotton Pima
